Time (sec),Temperature (C),dT/dt (C/sec),h=-mcpdT/dt / A(T-Tw) (W/m2K),m (kg),cp (J/kg),Tw,rho (kg/m3),r (m),pi,V (m3),A (m2),q''=h(T-Tw) (W/m2),Te=T-Tw,ln(Te),ln(q)
12.68,560.4678,-1.2988,143.575225861004,,,,,,,,,66111.7734071574,460.467834967297,6.13224300519354,11.0991021250648
12.70,560.4411,-1.6196,179.042090568478,,,,,,,,,82438.3291155753,460.441055250332,6.13218484587451,11.3198057669142
12.72,560.4031,-1.9238,212.692858136717,,,,,,,,,97924.440799463,460.4030509408,6.13210230354341,11.4919514480195
12.74,560.3641,-1.8646,206.162115863513,,,,,,,,,94909.6372304169,460.364101488223,6.13201770136685,11.460680530869
12.76,560.3285,-1.7037,188.389941855701,,,,,,,,,86721.2530115491,460.328466357159,6.1319402919637,11.370454265503
12.78,560.2960,-1.6953,187.473170086258,,,,,,,,,86293.1412492505,460.295951732967,6.13186965593978,11.3655053982382
12.80,560.2607,-2.0070,221.958902106995,,,,,,,,,102158.949230216,460.260653032833,6.1317929660329,11.5342852051231
12.82,560.2157,-2.2480,248.630737898953,,,,,,,,,114423.761696693,460.215670289313,6.13169522806307,11.6476640434986
12.84,560.1707,-2.2677,250.837544153304,,,,,,,,,115428.096633778,460.170733306304,6.13159757998207,11.6564030751182
12.86,560.1250,-2.4236,268.102043806773,,,,,,,,,123360.442533136,460.124961307811,6.13149810760858,11.7228657761216
12.88,560.0738,-2.2401,247.82867723679,,,,,,,,,114019.478981417,460.073790703713,6.13138689119139,11.6441245810384
12.90,560.0354,-1.8759,207.561455146011,,,,,,,,,95485.6085920603,460.035359286194,6.13130335454241,11.466730819742
12.92,559.9988,-1.9873,219.89691948548,,,,,,,,,101152.308860473,459.998753493917,6.13122377968364,11.5243826684399
12.94,559.9559,-2.0810,230.286640130739,,,,,,,,,105921.691659522,459.955868909234,6.13113054772704,11.5704553421491
12.96,559.9155,-2.3320,258.085221621,,,,,,,,,118697.397642878,459.915515105261,6.13104280980041,11.6843326565401
12.98,559.8626,-2.0916,231.515073103396,,,,,,,,,106465.121315667,459.862590752865,6.13092772910406,11.5755727111086
13.00,559.8318,-1.8907,209.283888427622,,,,,,,,,96235.3975204002,459.831849663296,6.13086087844534,11.4745525265665
13.02,559.7870,-2.1137,233.992417175714,,,,,,,,,107586.663167744,459.786964322662,6.13076326117178,11.5860519707724
13.04,559.7473,-1.8986,210.199303184331,,,,,,,,,96638.5627019417,459.747302859496,6.13067699692997,11.4787331403546
13.06,559.7110,-2.2502,249.150923105066,,,,,,,,,114537.425260106,459.711021065759,6.13059807699893,11.6486569067368
13.08,559.6573,-2.5697,284.554488232766,,,,,,,,,130797.546002745,459.65729381064,6.13048119836757,11.7814059563823
13.10,559.6082,-2.3693,262.396635284456,,,,,,,,,120599.654157856,459.608234027535,6.13037446145279,11.7002316955916
13.12,559.5625,-2.2654,250.917131704348,,,,,,,,,115312.1095502,459.562520769092,6.13027499514962,11.6553977271967
13.14,559.5176,-1.9237,213.082671270784,,,,,,,,,97915.2411546629,459.517616194293,6.13017727880688,11.491857497246
13.16,559.4856,-2.0449,226.523537998863,,,,,,,,,104084.297935493,459.485574236508,6.13010754682307,11.5529564068716
13.18,559.4358,-2.2266,246.68128965433,,,,,,,,,113334.221014916,459.435821718499,6.12999926222272,11.6380964403781
13.20,559.3965,-2.1780,241.323205926833,,,,,,,,,110863.038759455,459.396510723747,6.1299136949361,11.6160508333816
13.22,559.3487,-2.1247,235.432418223622,,,,,,,,,108145.575291321,459.348700180283,6.12980961701996,11.5912335178427
13.24,559.3115,-1.9086,211.509870752838,,,,,,,,,97148.9212245365,459.311524699766,6.12972868289539,11.4840003505189
13.26,559.2724,-1.9067,211.312448076687,,,,,,,,,97049.9658505059,459.272355858967,6.12964340197189,11.4829812367218
13.28,559.2353,-1.8121,200.85364960904,,,,,,,,,92239.0776270443,459.235258142369,6.12956262372672,11.4321391551861
13.30,559.1999,-1.9121,211.952843538393,,,,,,,,,97328.7181841734,459.199869930235,6.12948556175234,11.4858493755421
13.32,559.1588,-2.2264,246.81143419242,,,,,,,,,113325.635169643,459.158772527906,6.12939605989445,11.6380206806435
13.34,559.1108,-2.2488,249.314995625486,,,,,,,,,114463.210375757,459.110813164646,6.12929160393936,11.6480087435844
13.36,559.0688,-1.9245,213.378271985758,,,,,,,,,97955.3119183702,459.068821800696,6.12920013738449,11.4922666528198
13.38,559.0338,-2.0113,223.028392170442,,,,,,,,,102377.578203668,459.033835142519,6.12912392225118,11.5364230047569
13.40,558.9884,-2.4640,273.246874889154,,,,,,,,,125417.137316163,458.98836854782,6.12902486888504,11.7394005590571
13.42,558.9353,-2.5494,282.755599030472,,,,,,,,,129766.518963505,458.935276289687,6.12890918985554,11.7734921067087
13.44,558.8864,-2.3594,261.7128775696,,,,,,,,,120096.47805994,458.886391740513,6.12880266687636,11.6960506825751
13.46,558.8409,-2.5211,279.67402918952,,,,,,,,,128325.882887491,458.840898668254,6.12870352397678,11.7623282674944
13.48,558.7855,-2.4480,271.591658496754,,,,,,,,,124602.327618931,458.785547054717,6.12858288313461,11.7328825658908
13.50,558.7430,-2.1950,243.549799355986,,,,,,,,,111726.760767187,458.742980132293,6.12849009708776,11.6238115335091
13.52,558.6977,-2.2431,248.906753857523,,,,,,,,,114172.967148282,458.69774676197,6.12839148936514,11.6454698331939
13.54,558.6533,-2.6883,298.338555245038,,,,,,,,,136833.950198669,458.653257492251,6.12829449427919,11.8265234273474
13.56,558.5902,-2.5033,277.849135502462,,,,,,,,,127418.895072531,458.590216025352,6.12815703575521,11.7552353240941
13.58,558.5531,-1.9822,220.029173120961,,,,,,,,,100895.065049296,458.55312556135,6.12807615316611,11.5218362958225
13.60,558.5109,-2.3311,258.78143487464,,,,,,,,,118654.115802568,458.51092780302,6.12798412522497,11.6839679498638
13.62,558.4599,-2.5648,284.753200269559,,,,,,,,,130547.918428962,458.459881417945,6.1278727882345,11.7794956293733
13.64,558.4083,-2.5300,280.921767417992,,,,,,,,,128776.880210703,458.408336934218,6.12776035226442,11.7658365750704
13.66,558.3587,-2.6780,297.395123120621,,,,,,,,,136313.636760962,458.358682316638,6.12765202677586,11.8227136622835
13.68,558.3012,-2.6357,292.724116980823,,,,,,,,,134155.818497015,458.301215085067,6.12752664279908,11.8067572279808
13.70,558.2533,-2.5187,279.758845583869,,,,,,,,,128200.401935491,458.253256185451,6.12742199239114,11.761349958686
13.72,558.2005,-2.5623,284.644004514641,,,,,,,,,130424.016369001,458.200469008272,6.12730679360742,11.7785460861255
13.74,558.1508,-2.6915,299.021680746144,,,,,,,,,136997.011093161,458.15076268488,6.12719830611546,11.827714387734
13.76,558.0928,-2.6690,296.559107596097,,,,,,,,,135851.594968494,458.092810130516,6.12707180579139,11.8193183554443
13.78,558.0440,-2.3838,264.905224488133,,,,,,,,,121338.249686657,458.044003930518,6.12696525794986,11.7063373765254
13.80,557.9975,-2.5112,279.08695939979,,,,,,,,,127821.117593437,457.997456664876,6.12686363096531,11.7583870466603
13.82,557.9436,-2.6263,291.908449187621,,,,,,,,,133677.593222234,457.943555913705,6.12674593615638,11.8031861590844
13.84,557.8924,-2.6127,290.430109475609,,,,,,,,,132985.741703189,457.892406346241,6.12663423587461,11.7979971962178
13.86,557.8390,-2.6088,290.032041146773,,,,,,,,,132787.993980959,457.839049285458,6.12651770157733,11.7965091051676
13.88,557.7881,-2.5821,287.094910781529,,,,,,,,,131428.620840871,457.788055117719,6.12640631525522,11.786219175933
13.90,557.7358,-2.3986,266.721178300992,,,,,,,,,122087.822942871,457.735766318101,6.1262920881899,11.7124959249278
13.92,557.6921,-2.3303,259.151531001068,,,,,,,,,118611.611707703,457.692112601157,6.12619671482848,11.6836096672263
13.94,557.6426,-2.8145,313.032245038152,,,,,,,,,143256.8765971,457.64255557647,6.12608843306781,11.8723946375931
13.96,557.5795,-2.8088,312.446579041776,,,,,,,,,142969.160168528,457.579534418304,6.12595071532923,11.8703842228263
13.98,557.5302,-2.4012,267.129659330083,,,,,,,,,122219.887392871,457.530203495103,6.12584290110498,11.7135770571007
14.00,557.4835,-2.5198,280.353216598043,,,,,,,,,128256.967434685,457.48348811911,6.12574079252133,11.7617910885335
14.02,557.4294,-2.5290,281.412684790342,,,,,,,,,128726.439204945,457.429412966403,6.12562258421384,11.7654448053136
14.04,557.3823,-2.6499,294.893925894436,,,,,,,,,134879.270532339,457.382328656785,6.12551964651088,11.8121353649495
14.06,557.3234,-2.8763,320.129121004585,,,,,,,,,146402.543918909,457.323418311613,6.12539083930606,11.8941152568537
14.08,557.2673,-2.6065,290.140014448081,,,,,,,,,132671.534777974,457.267278456396,6.12526807432389,11.7956316892316
14.10,557.2192,-2.6567,295.756169820712,,,,,,,,,135225.387116884,457.219158602366,6.12516283524735,11.8146981994967
14.12,557.1610,-2.7170,302.51321152153,,,,,,,,,138297.245864002,457.161011806453,6.12503565227057,11.8371606032391
14.14,557.1105,-2.7393,305.030955062599,,,,,,,,,139432.845654316,457.110477937236,6.12492510771168,11.8453383711776
14.16,557.0514,-3.0287,337.293596917041,,,,,,,,,154160.523746052,457.05143873208,6.12479594196071,11.9457497005011
14.18,556.9893,-2.7914,310.915534649772,,,,,,,,,142085.082220962,456.989331141052,6.1246600451973,11.8641813277225
14.20,556.9398,-2.5262,281.404549838465,,,,,,,,,128584.933488696,456.939781401926,6.12455161285065,11.7643449259804
14.22,556.8883,-2.4968,278.156350738517,,,,,,,,,127086.3774613,456.888282880763,6.12443890341825,11.7526222717426
14.24,556.8399,-2.6465,294.864398816369,,,,,,,,,134705.825647306,456.839910779448,6.12433302488304,11.8108486105153
14.26,556.7824,-2.9714,331.109217152841,,,,,,,,,151244.870994429,456.782424527354,6.1242071823988,11.9266554645375
14.28,556.7211,-2.8456,317.138690258224,,,,,,,,,144843.917273507,456.721055244224,6.12407282213727,11.8834120090366
14.30,556.6686,-2.6542,295.838205987278,,,,,,,,,135100.019109523,456.668599171173,6.1239579619068,11.8137706653955
14.32,556.6149,-2.6110,291.058471828467,,,,,,,,,132901.631257681,456.614887114525,6.12384033784479,11.7973645189502
14.34,556.5642,-2.5262,281.636561294153,,,,,,,,,128585.159649804,456.564158640982,6.12372923482763,11.764346684825
14.36,556.5138,-2.6597,296.55286086051,,,,,,,,,135380.484881932,456.513838676508,6.1236190143105,11.8158444996926
14.38,556.4578,-2.7966,311.855246941225,,,,,,,,,142348.750615182,456.457770107713,6.12349618777717,11.8660353158161
14.40,556.4020,-2.8044,312.757540224619,,,,,,,,,142743.158786617,456.401974142976,6.12337394344521,11.8688022019328
14.42,556.3456,-2.3980,267.473665239683,,,,,,,,,122060.429078918,456.345595629163,6.12325040761613,11.7122715214038
14.44,556.3061,-2.2780,254.103574794445,,,,,,,,,115948.999306734,456.306053153838,6.12316375357808,11.6609057122604
14.46,556.2545,-2.4516,273.506129073489,,,,,,,,,124788.39595799,456.254477297145,6.12305071810257,11.7343747494886
14.48,556.2080,-2.3816,265.716421159314,,,,,,,,,121221.953980975,456.207988396377,6.12294882042994,11.7053784746707
14.50,556.1592,-2.2116,246.781181140036,,,,,,,,,112571.50992047,456.159215222295,6.12284190476279,11.6313439424282
14.52,556.1195,-2.2423,250.233161949286,,,,,,,,,114136.230782105,456.119524258885,6.12275488977117,11.6451480207848
14.54,556.0695,-2.6010,290.284230818676,,,,,,,,,132389.79023438,456.069521451466,6.12264525721704,11.7935058064783
14.56,556.0155,-2.5723,287.121571300347,,,,,,,,,130931.882865589,456.015485958128,6.12252676937224,11.7824324888225
14.58,555.9666,-2.5532,285.021461272625,,,,,,,,,129960.274844908,455.966628844837,6.12241962447861,11.7749841046231
14.60,555.9134,-2.7757,309.895465165837,,,,,,,,,141285.481808149,455.913356888077,6.12230278463641,11.8585378161054
14.62,555.8556,-2.7985,312.482371872724,,,,,,,,,142446.839081767,455.855599879364,6.12217609243361,11.8667241500117
14.64,555.8014,-2.8459,317.812864795346,,,,,,,,,144859.55356533,455.801415271884,6.12205722183503,11.8835199559092
14.66,555.7418,-2.9733,332.07778288332,,,,,,,,,151341.713970478,455.741762235428,6.12192633821259,11.9272955654816
14.68,555.6825,-3.0390,339.462693818808,,,,,,,,,154687.203420023,455.682483632765,6.12179625915662,11.9491603144586
14.70,555.6202,-2.9259,326.871855605802,,,,,,,,,148929.420731772,455.620201548881,6.12165957112751,11.9112277863388
14.72,555.5654,-2.6330,294.184495090885,,,,,,,,,134020.29120964,455.565447690354,6.12153938956267,11.8057464944068
14.74,555.5149,-2.7154,303.421687088216,,,,,,,,,138213.093966439,455.514881921592,6.12142838778341,11.8365519323285
14.76,555.4568,-2.8775,321.581042782698,,,,,,,,,146466.283348766,455.456833155856,6.12130094416501,11.8945505331612
14.78,555.3998,-2.7492,307.277288014653,,,,,,,,,139934.009862246,455.399781631676,6.12117567412069,11.8489262323405
14.80,555.3469,-2.5979,290.398959381301,,,,,,,,,132232.256114331,455.346866242407,6.12105947190473,11.7923151714512
14.82,555.2959,-2.4810,277.370765491575,,,,,,,,,126285.76319068,455.29586712885,6.12094746505124,11.7463025798209
14.84,555.2476,-2.6475,296.017448922276,,,,,,,,,134761.2405157,455.247624781348,6.12084150120003,11.8112599028484
14.86,555.1900,-2.8961,323.846958334266,,,,,,,,,147411.885703289,455.189965227757,6.12071483781464,11.900985891194
14.88,555.1318,-2.5547,285.703591624595,,,,,,,,,130032.784606013,455.131781391364,6.12058700644801,11.7755418869204
14.90,555.0878,-2.3721,265.315242199809,,,,,,,,,120741.724354261,455.087779176029,6.12049032161003,11.7014090337977
14.92,555.0369,-2.5597,286.323296169297,,,,,,,,,130287.66414299,455.036896704183,6.12037850732075,11.777500085899
14.94,554.9854,-2.2860,255.742716786924,,,,,,,,,116359.200460104,454.985392827632,6.12026531476008,11.6644372413248
14.96,554.9455,-2.5635,286.81568849919,,,,,,,,,130485.494196881,454.945456016258,6.1201775348778,11.7790173439872
14.98,554.8829,-2.8971,324.176305674655,,,,,,,,,147462.242156736,454.882851014811,6.12003991550266,11.9013274366141
15.00,554.8296,-2.7949,312.785421717731,,,,,,,,,142264.059817309,454.829573053737,6.119922784067,11.8654401858903
15.02,554.7711,-2.7069,302.972973636003,,,,,,,,,137783.338261713,454.771053035405,6.11979411217137,11.8334377177818
15.04,554.7213,-2.7328,305.905912438844,,,,,,,,,139101.933032301,454.721296242058,6.11968469554256,11.8429622745245
15.06,554.6617,-2.9225,327.177019470636,,,,,,,,,148754.872963208,454.661740008176,6.11955371391745,11.9100550822878
15.08,554.6044,-2.7438,307.215525050162,,,,,,,,,139661.52865816,454.604397467726,6.11942758463986,11.8469771219091
15.10,554.5520,-2.6613,298.009308095372,,,,,,,,,135460.723205892,454.551987223637,6.11931229040659,11.8164370116436
15.12,554.4979,-2.5870,289.727715021216,,,,,,,,,131680.651341446,454.497945879302,6.11919339408983,11.7881349622948
15.14,554.4485,-2.4322,272.41388760883,,,,,,,,,123798.084291565,454.448506198522,6.11908460950584,11.7264071648929
15.16,554.4007,-2.4164,270.681148152754,,,,,,,,,122997.692196026,454.400659356648,6.11897931845485,11.7199208715446
15.18,554.3518,-2.4045,269.370490198427,,,,,,,,,122388.980196831,454.351848662692,6.11887189494059,11.7149596139357
15.20,554.3045,-2.5686,287.783320420351,,,,,,,,,130741.251786934,454.30448017615,6.11876763442959,11.7809754717494
15.22,554.2491,-2.5082,281.053089321238,,,,,,,,,127668.114524258,454.249105863185,6.1186457388939,11.7571893203515
15.24,554.2042,-2.5818,289.334048123083,,,,,,,,,131416.726087207,454.20415239655,6.11854677185017,11.7861286683108
15.26,554.1458,-2.7553,308.814813534488,,,,,,,,,140246.96050168,454.145832243301,6.11841836285734,11.8511601511478
15.28,554.0939,-2.8247,316.631571212001,,,,,,,,,143780.477557992,454.093939551351,6.11830409194867,11.8760429539817
15.30,554.0328,-3.1935,358.014670035469,,,,,,,,,162550.418324941,454.032842589486,6.11816953593038,11.9987434992442
15.32,553.9662,-2.7920,313.052354656169,,,,,,,,,142115.187709762,453.966199570194,6.11802274498387,11.8643931888085
15.34,553.9212,-2.5132,281.821304146441,,,,,,,,,127924.653742057,453.921161600983,6.11792353010067,11.7591967269435
15.36,553.8657,-2.6360,295.627855535044,,,,,,,,,134175.334779147,453.865670189668,6.11780127362054,11.8069026921352
15.38,553.8157,-2.2339,250.558240716625,,,,,,,,,113707.268446062,453.815720132957,6.11769121284967,11.6413826042219
15.40,553.7763,-1.8912,212.135360567332,,,,,,,,,96262.001885096,453.776313518191,6.1176043751223,11.4748289392864
15.42,553.7401,-1.8627,208.955191798878,,,,,,,,,94811.3439378743,453.740072795758,6.11752450720366,11.4596443428761
15.44,553.7018,-2.0133,225.874341935348,,,,,,,,,102479.596905374,453.701806178174,6.11744016765863,11.5374190031649
15.46,553.6595,-1.7429,195.556614547298,,,,,,,,,88716.1236766068,453.659539371651,6.11734700343743,11.3931969294174
15.48,553.6321,-1.4336,160.854154753772,,,,,,,,,72968.6062062048,453.632088757059,6.11728649232116,11.1977845756619
15.50,553.6022,-1.9142,214.795027545617,,,,,,,,,97431.4964233083,453.60219711146,6.11722059612196,11.4869048092598
15.52,553.5555,-2.2499,252.500503177473,,,,,,,,,114522.997618479,453.555522374484,6.11711769287589,11.6485309343714
15.54,553.5122,-2.2042,247.386965903334,,,,,,,,,112193.007009848,453.512199400543,6.11702216974584,11.6279759440129
15.56,553.4674,-2.3464,263.375226455495,,,,,,,,,119432.067493155,453.467355682887,6.1169232839056,11.6905030158511
15.58,553.4183,-2.5479,286.019986163487,,,,,,,,,129686.70845,453.418343905071,6.1168151958017,11.7728768858705
15.60,553.3654,-2.6106,293.103582357292,,,,,,,,,132883.035048356,453.365441594542,6.11669851460066,11.7972245845468
15.62,553.3139,-2.7509,308.890080260907,,,,,,,,,140024.17251091,453.313917988681,6.1165848611787,11.8495703474795
15.64,553.2554,-2.8304,317.851350450073,,,,,,,,,144067.842205181,453.255403826923,6.11645577196195,11.8780395940378
15.66,553.2007,-2.8844,323.95975768789,,,,,,,,,146818.789769065,453.200702509827,6.1163350792626,11.8969543826739
15.68,553.1400,-3.1521,354.068699054478,,,,,,,,,160442.699679594,453.140026520412,6.11620118703518,11.9856921464664
15.70,553.0746,-3.1205,350.572084219189,,,,,,,,,158835.313446149,453.07461887593,6.11605683349834,11.975623179938
15.72,553.0152,-2.8990,325.725993880598,,,,,,,,,147558.828233127,453.015206048365,6.11592569235534,11.9019822107271
15.74,552.9587,-2.7705,311.330233527241,,,,,,,,,141019.725399535,452.958660011399,6.11580086306576,11.8566550560263
15.76,552.9044,-2.9051,326.498302082301,,,,,,,,,147872.513010836,452.904385927132,6.1156810346114,11.9041057829539
15.78,552.8425,-2.9216,328.398207121692,,,,,,,,,148712.65021177,452.842454638197,6.11554428273712,11.9097712008659
15.80,552.7875,-2.4871,279.594535596861,,,,,,,,,126596.916471693,452.78752033348,6.11542296540819,11.7487634319319
15.82,552.7430,-2.5742,289.410860949428,,,,,,,,,131028.732348065,452.742968657839,6.1153245663455,11.783171909035
15.84,552.6846,-3.0163,339.158178292695,,,,,,,,,153531.667867954,452.684551617844,6.11519552887145,11.9416621300601
15.86,552.6223,-2.8529,320.824944567048,,,,,,,,,145212.529455595,452.622316047021,6.11505803831848,11.8859536686665
15.88,552.5704,-2.8873,324.73822084585,,,,,,,,,146966.91838514,452.57043658838,6.11494341199487,11.8979627954354
15.90,552.5068,-3.1648,355.998975134647,,,,,,,,,161091.964992297,452.506822333879,6.11480284000727,11.9897306920199
15.92,552.4438,-3.3500,376.873912803695,,,,,,,,,170514.281333744,452.443842730397,6.11466365097517,12.0465743336861
15.94,552.3728,-3.2598,366.792505823919,,,,,,,,,165926.961668385,452.372823963964,6.11450667162412,12.0193029805652
15.96,552.3134,-3.2904,370.282338925712,,,,,,,,,167483.681933679,452.31344929816,6.11437541139028,12.02864120421
15.98,552.2412,-3.7030,416.783212416089,,,,,,,,,188486.543117763,452.241207185645,6.11421568171082,12.1467818940262
16.00,552.1653,-3.5652,401.333116581284,,,,,,,,,181468.920077765,452.16532745563,6.11404788166231,12.108839678783
16.02,552.0986,-3.1247,351.801264085057,,,,,,,,,159048.859017078,452.098600130737,6.11390029792491,11.9769667234142
16.04,552.0403,-3.1910,359.315450438843,,,,,,,,,162425.078085089,452.040339169145,6.11377142179948,11.9979721164941
16.06,551.9710,-3.2244,363.125638203105,,,,,,,,,164122.242808326,451.970958648004,6.11361792698931,12.008366812124
16.08,551.9114,-3.0574,344.366725557462,,,,,,,,,155623.236653341,451.911363972282,6.11348606319617,11.9551932153953
16.10,551.8487,-2.8885,325.383661668526,,,,,,,,,147024.172285642,451.848662381267,6.1133473060277,11.8983522895598
16.12,551.7958,-3.0972,348.939615852523,,,,,,,,,157649.46171218,451.795825266255,6.11323036376601,11.9681292505188
16.14,551.7248,-3.3974,382.817284832367,,,,,,,,,172928.051401027,451.724773808871,6.11307308687027,12.0606308991192
16.16,551.6599,-3.1841,358.836916704279,,,,,,,,,162072.25669409,451.659930039069,6.11292952949181,11.995797543749
16.18,551.5974,-3.2924,371.090449157377,,,,,,,,,167583.485563155,451.597409590252,6.11279109618787,12.0292369273492
16.20,551.5282,-3.4102,384.428176010274,,,,,,,,,173580.175732924,451.52823483023,6.1126379065169,12.0643948796008
16.22,551.4610,-3.2222,363.28635124207,,,,,,,,,164009.620105515,451.461001892224,6.11248899457998,12.0076803642659
16.24,551.3993,-3.1226,352.112155336363,,,,,,,,,158943.197390207,451.399348137734,6.1123524202923,11.9763021682555
